sentence1	sentence2	score
Three children are eating their food.	The deer jumped over the fence.	0
A submarine is going through water.	A baby is falling asleep.	0
A man is running on a street.	A man plays the guitar.	0.8
A person is slicing an onion.	A cat is pooping into a toilet.	0
A badger is digging in the dirt.	A man is moving large rocks.	0
A woman is slicing big pepper.	A dog is moving its mouth.	0
A man is riding a bicycle.	A man is riding a bike.	5
A man and a woman are kissing each other.	A man and a woman are talking to each other.	0.6
A woman is slicing an onion.	A woman is cutting an onion.	4.2
A small boy is playing with a dog.	A baby is playing with a dog.	3.75
The man is drawing.	A man is drawing.	5
A man is cutting a potato.	A woman is cutting a tomato.	1.25
A boy is playing a guitar.	A kid is playing a guitar.	3.6
A woman is cutting an onion.	A woman is cutting through an onion.	5
A toy train is striking a toy car.	A toy train strikes a toy car.	5
A man is playing the guitar.	A man is playing the flute.	2.2
A cat opens a drawer and climbs inside.	A cat is opening a drawer and climbing inside.	5
A woman is frying a food.	A woman is deep frying food.	4.25
A man is dicing an onion.	A woman is cutting an onion.	2.5
A girl is playing a guitar.	A man is playing a guitar.	2.8
A girl is singing on stage.	A man is singing on stage.	2.8
A woman is riding a horse.	A woman is riding a donkey.	2.8
A girl is playing a guitar.	A man is playing a guitar.	2.8
A woman is brushing some shrimp.	A woman brushes some shrimp.	5
A man is dancing on the ceiling.	A man is dancing on the ceiling of a room.	4.8
A woman thinly slices an onion with a large knife.	A woman is slicing onions with a large knife.	4.2
A man is playing a keyboard.	A man plays a keyboard.	5
A man plays the guitar.	A man is playing the guitar.	5
A woman is peeling a potato.	A woman peels a potato.	5
A woman is handling a frog.	A man is holding a frog.	3.75
A man is playing a flute.	A man is playing a guitar.	2
A man is playing a guitar.	A man is playing a flute.	1.583
A man is playing a piano.	A man is playing a guitar.	1.778
A man is playing a guitar.	A man is playing a piano.	2
A man is playing a flute.	A man is playing a guitar.	2
A man is playing a flute.	A man is playing a guitar.	2
Two women are on a couch.	Two women are hugging on a couch.	3.2
Someone is slicing a cucumber.	A man is slicing a cucumber.	3.8
A kitten is playing with a blue rope toy.	A kitten is playing with a toy.	4.4
The dog is barking at the toy.	A dog is barking at a toy.	5
A person folds a tortilla.	A man folds a tortilla.	3.5
A cat is drinking milk.	A kitten is drinking milk.	4
A person is driving a car.	A man is driving a car.	3.5
A turtle is walking.	A tortoise is walking.	4.4
A cow is eating grass.	A cow is eating hay.	3.8
A woman is chopping broccoli.	A woman is chopping garlic.	2.6
A man is crying.	A man is screaming.	3
The man is playing the guitar.	A man is playing guitar.	5
A man is cutting an onion.	A man is cutting a plantain.	3.667
A man is slicing a potato.	A woman is peeling a potato.	2.333
A woman is tapping her fingers on a table.	A woman is tapping her fingers.	4
Someone is boiling okra in a pot.	Someone is cooking okra in a pan.	4.4
A man is smoking.	A man is mixing.	0.2
The man is playing the drums.	A man is playing drums.	5
A man dives into a pool.	A man is diving into a pool.	5
A woman is cutting a leak.	A woman is slicing a leek.	4
A little boy is playing a guitar.	A boy is playing guitar.	4.6
A woman is dancing.	The man is dancing.	2.6
Women are talking.	The men are talking.	2.6
A girl is putting gel in her hair.	A woman is putting gel on her hair.	2.6
A kid is playing guitar.	A man is playing a guitar.	2.2
A group of people are marching in place.	A group of people are dancing in concert.	1.7
The woman is shooting a machine gun.	The man is shooting a gun.	2
A man played the piano.	A man plays a piano.	4
A woman is slicing an onion.	Someone is slicing a onion.	3.25
A man is slicing a cucumber.	A man is cutting cucumbers.	4.5
A girl is eating a cupcake.	A woman is eating a cupcake.	2.6
A woman is cutting an onion.	A man is chopping an onion.	2
The man is playing a guitar.	A baby is playing a guitar.	1.8
A man is playing the guitar.	A man is playing the drums.	1.556
Two little girls talk on the telephone.	Two girls talk on the phone.	4.5
A man is chopping a log with an axe.	A man is chopping a tree trunk with an axe.	4
A person is cutting a capsicum into pieces.	A person is slicing a garlic into pieces.	1.6
A man is talking with a woman.	A woman is walking with a dog.	0.5
The man is walking.	A man is talking.	1.4
Someone is pouring oil into a skillet.	Someone is pouring milk into a blender.	1.6
A small kitten is playing a ball.	A kitten is playing with a ball.	4.4
A man is playing a guitar.	A woman is playing a flute.	1.8
A girl is playing a violin.	A girl is playing a flute.	2.6
A man is playing two pianos.	A cat is playing a piano.	1.6
A man is exercising.	A girl is exercising.	3
A person is slicing a scallop.	A person is slicing octopus.	2
A man and a woman are riding on their bicycles.	A man and woman are riding a motorcycle.	2
Two men are fighting in a cow pasture.	Two men are fighting in a cattle pen.	4
A woman is adding oil to a pan.	A man is pouring oil into a pan.	3
A girl makes up her bed.	A young girl makes her bed.	4.4
The cat played with a watermelon.	A cat is playing with a watermelon.	4.8
A girl jumps on a car.	A girl is jumping onto a car.	4.8
A man is praying.	A man is running.	0.727
A car is parking.	A cat is playing.	0
A man is running.	A man is dancing.	1.25
A man is singing.	A man is dancing.	0.5
A man is carrying another man over his shoulder.	A man is carrying someone on his shoulder.	3.25
A woman is peeling a potato.	A woman is slicing a tomato.	1.333
A woman is cutting a tomato.	A woman is slicing a potato.	1
Someone is peeling a potato.	Someone is slicing a tomato.	1.4
A woman is peeling a potato.	A woman is slicing a tomato.	1.333
Two robots kiss.	Two robots are kissing.	5
Two boys on a couch are playing video games.	Two boys are playing a video game.	4
A woman is squeezing a lemon.	A woman is squeezing juice out of a lemon.	4.4
A woman is slicing an onion.	A man is slicing a tomato.	1.2
A woman is slicing a carrot.	A man is slicing a tomato.	1.2
A girl is styling her hair.	A girl is filing her nails.	1.25
A man walking down the stairs.	A man walks down a staircase.	5
Two people are riding a motorcycle.	Two people are riding a bike.	2
A man is playing a guitar.	A woman is playing an electric guitar.	2.2
A man is playing a guitar and singing.	A man is playing a guitar.	3.2
A man is walking in the rain.	A man and woman is walking in the grand.	1.5
A kangaroo is eating.	Kangaroo eating.	4.75
A man is fishing.	A man is exercising.	0.5
A woman is swimming.	A man is singing.	0.067
A Woman is eating.	A animal is eating.	1.6
A boy and a girl is dancing in the rain.	A man and woman is dancing in the rain.	2.6
A man is driving a car.	A man drives a car.	4.875
A woman is grating onion.	A woman grates onions.	5
Two roosters are fighting.	Two men are fighting.	2
A man is riding a horse.	A man is driving a car.	1.4
A man is riding a horse.	A man is driving a car.	1.4
A man is shooting a gun.	A man is slicing a bun.	0.8
A woman is cutting an onion.	A woman is cutting meat.	2
The woman is slicing herbs.	The man is slicing bread.	1.6
A boy is playing the piano.	A man is playing a piano.	3
A baby elephant is eating.	A baby elephant eats a sapling.	3.615
A woman is cracking eggs into a bowl.	A woman is cracking eggs.	4
A person is playing the keyboard.	A boy is playing a key-board.	4
A boy whacks a man with a sword.	A boy spanks a man with a plastic sword.	3.333
A person is slicing a carrot into pieces.	A person is cutting an onion into pieces.	1.5
A man sliced through a bunch of water bottles with a knife.	A man is slicing a line of water bottles with a knife	4.4
A man is writing in a book.	A man is writing on a paper.	2.875
A woman is slicing a garlic.	A woman is slicing a big pepper.	2.2
A person is making a bed.	A person is eating at a table.	0.2
A man is playing keyboard.	A man is playing guitar.	1.8
A man is playing a violin.	A man is playing a harp.	1.6
The woman is smoking.	The man is walking.	0.2
The man erased what the other man had on the board.	The man erased the work on the board.	3
A man is riding a motorcycle.	A man is riding a motorcycle through a town.	3.5
A man is riding a motorcycle on the highway.	A man is riding a motorcycle.	3.5
A woman is slicing up some meat.	A woman is slicing some onions.	2
A woman cuts up broccoli.	A woman is cutting broccoli.	5
A man is playing a piano.	A woman is peeling a potato.	0
Someone is slicing a tomato.	Someone is slicing fruit.	3.2
A woman is dancing in a cage.	A woman is dancing.	3.25
A woman is swimming.	A man is spitting.	0
A man is running.	A man is mooing.	1
The man is playing the guitar.	The man played his guitar.	3.667
A cat stares into the camera.	A cat addresses the camera.	3
The baby is laughing and crawling.	A baby is laughing and crawling on the floor.	4.2
A woman is shooting a gun.	A woman shoots a shotgun.	4.091
A woman is dancing in the rain.	A woman is dancing in railway station.	2
A woman is dancing.	A woman is exercising.	1
A kid is playing an instrument.	A young boy is playing a wind instrument.	3.8
Someone slices a bottle with a sword.	A man breaks a bottle with a sword.	4
A woman is cutting an apple.	A woman is cutting potato.	1.8
The man is peeling an apple.	A man peels an apple.	5
The man is playing the guitar.	The man is playing with a skull.	1
An animal is walking on the ground.	A solenodon is walking along the ground.	3
A little girl is playing a grand piano on stage.	A little girl is playing the piano.	2.6
a group of people dancing	A group of men are dancing.	3.4
A man plays a guitar.	A woman is playing guitar.	2
A cat swings on a ceiling fan.	A cat is spun around by a ceiling fan.	4.2
A woman is playing the flute.	A girl is playing a flute.	3.8
The woman is dicing onions.	A woman is cutting an onion.	4.4
A monkey is brushing a bull dog.	A monkey brushes a dog.	4.2
A woman is slicing a onion.	A woman is cutting a potato.	1.2
A man is playing the piano.	A woman is playing a guitar.	1.2
A woman is washing her hands.	A woman is straightening her hair.	0.8
A woman fires a shotgun.	A woman is shooting a gun.	3.2
A man is eating a bowl of cereal.	The man is eating cereal.	4
A woman is bathing into bath-tub.	A woman is taking a bath.	4.4
A motorcyclist crashes on his motorcycle.	A person crashes on a motorcycle.	4.2
A man is dangling a mouse near a snake.	A man is feeding a mice to a snake.	3.2
A man and a woman are walking in the woods.	A man and woman are walking through the jungle.	3.4
A person pours some rice pudding into a bowl.	The lady poured the rice pudding into a bowl.	4
A man stares out a window.	A man looks out the window.	4.8
A woman is firing a rifle.	A woman is cutting a lemon.	0.2
A man is eating a banana.	Someone is peeling a banana.	1.8
The men are performing on stage.	The comedic mimes performed on stage.	2.6
A cartoon woman dives into a pool.	A cartoon woman is diving off a board.	2.8
The lady put the baby int a trashcan.	A woman puts a baby in a trash can.	5
Someone is frying meat.	Someone is playing paino.	0.25
A man is rapidly chopping some mushrooms using a knife.	A person is quickly chopping mushrooms with a knife.	3.75
